timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-01-25 03:58:41,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,186000,5670000,164000,"Oct 30, 2020",7
2026-01-25 03:59:28,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj_/b58976d0d8.webp?width=400,29500,4930000,213000,"Dec 27, 2019",7
2026-01-25 04:00:15,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/cb9735d703.webp?width=400,72000,2600000,38500,"Oct 20, 2021",4
2026-01-25 04:00:52,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/d3fa51159a.webp?width=400,82300,4550000,105000,"Dec 1, 2023",10
2026-01-25 04:01:53,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/857fddfe80.webp?width=400,67900,3570000,120000,"Nov 25, 2019",30
2026-01-25 04:03:56,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/e86080d869.webp?width=400,65500,1980000,85300,"Oct 17, 2020",4
2026-01-25 04:04:36,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/4fd9aa58b0.webp?width=400,70600,2730000,39200,"Aug 10, 2023",11
2026-01-25 04:05:40,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/278176366b.webp?width=400,131000,6380000,42800,"Oct 21, 2019",30
2026-01-25 04:07:45,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,70500,2770000,46400,"Aug 27, 2021",12
2026-01-25 04:09:00,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/troublecoming/1c4d8d43b0.webp?width=400,202000,10000000,182000,"Jul 2, 2020",51
2026-01-25 04:12:19,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/7feb6e989a.webp?width=400,498000,87600000,248000,"Jul 18, 2017",37
2026-01-25 04:14:52,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,219000,12200000,80600,"May 21, 2019",36
2026-01-25 04:17:33,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,226000,12000000,167000,"May 25, 2019",88
2026-01-25 04:22:54,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,111000,3910000,70700,"Jan 12, 2024",27
2026-01-25 04:25:01,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,176000,7530000,128000,"Jun 16, 2020",62
2026-01-25 04:28:56,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/768a6c34c5.webp?width=400,95300,3650000,102000,"Feb 6, 2021",14
2026-01-25 04:30:17,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,128000,5600000,147000,"Mar 9, 2019",59
2026-01-25 04:34:01,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/d012ddf240.webp?width=400,33400,1020000,18000,"Jan 13, 2021",25
2026-01-25 04:35:52,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,48300,1820000,27700,"Jul 2, 2023",30
2026-01-25 04:37:58,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/a56f5b7ee0.webp?width=400,116000,3990000,130000,"Apr 17, 2023",16
2026-01-25 04:39:18,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/ec6e7433aa.webp?width=400,13900,705000,6510,"Jul 28, 2019",16
2026-01-25 04:40:46,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,90000,5610000,14000,"Feb 10, 2020",59
2026-01-25 04:44:32,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,53900,2069999,51100,"Apr 29, 2019",37
2026-01-25 04:47:04,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,84200,3290000,185000,"Jun 18, 2020",25
2026-01-25 04:48:54,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,89300,3390000,16200,"Aug 4, 2020",15
2026-01-25 04:50:16,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/8076147772.webp?width=400,113000,5620000,24400,"Aug 31, 2019",41
2026-01-25 04:52:59,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,65099,1410000,40300,"Jun 17, 2024",13
2026-01-25 04:54:12,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,161000,8460000,74200,"Jan 21, 2020",34
2026-01-25 04:56:29,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,10900,666000,5550,"Oct 27, 2023",7
2026-01-25 04:57:23,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,99000,4510000,67200,"May 31, 2019",37
