timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-02-10 04:35:19,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,192000,5820000,112000,"Oct 30, 2020",7
2026-02-10 04:36:06,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj_/b58976d0d8.webp?width=400,30000,5010000,87400,"Dec 27, 2019",7
2026-02-10 04:36:53,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/cb9735d703.webp?width=400,73000,2630000,34200,"Oct 20, 2021",4
2026-02-10 04:37:33,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/d3fa51159a.webp?width=400,86500,4790000,137000,"Dec 1, 2023",11
2026-02-10 04:38:37,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/857fddfe80.webp?width=400,68700,3640000,75000,"Nov 25, 2019",30
2026-02-10 04:40:42,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/cd7ddf76fb.webp?width=400,74200,2300000,140000,"Oct 17, 2020",14
2026-02-10 04:41:52,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/4fd9aa58b0.webp?width=400,73700,2780000,34500,"Aug 10, 2023",10
2026-02-10 04:42:54,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/278176366b.webp?width=400,133000,6420000,34100,"Oct 21, 2019",30
2026-02-10 04:45:00,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,72500,2860000,42600,"Aug 27, 2021",12
2026-02-10 04:46:14,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/troublecoming/1c4d8d43b0.webp?width=400,209000,10200000,149000,"Jul 2, 2020",51
2026-02-10 04:49:35,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/7feb6e989a.webp?width=400,500000,87900000,228000,"Jul 18, 2017",37
2026-02-10 04:52:08,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,222000,12300000,63900,"May 21, 2019",36
2026-02-10 04:54:50,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,229000,12200000,118000,"May 25, 2019",88
2026-02-10 05:00:12,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,114000,3980000,50600,"Jan 12, 2024",27
2026-02-10 05:02:20,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,185000,7790000,113000,"Jun 16, 2020",62
2026-02-10 05:06:14,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/768a6c34c5.webp?width=400,102000,3970000,158000,"Feb 6, 2021",14
2026-02-10 05:07:36,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,133000,5780000,116000,"Mar 9, 2019",59
2026-02-10 05:11:23,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/d012ddf240.webp?width=400,33900,1030000,13400,"Jan 13, 2021",26
2026-02-10 05:13:20,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,48800,1840000,19200,"Jul 2, 2023",30
2026-02-10 05:15:28,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/a56f5b7ee0.webp?width=400,120000,4080000,93700,"Apr 17, 2023",16
2026-02-10 05:16:48,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/ec6e7433aa.webp?width=400,14000,709000,4019,"Jul 28, 2019",16
2026-02-10 05:18:19,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,90500,5630000,12600,"Feb 10, 2020",59
2026-02-10 05:22:11,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,54500,2100000,32400,"Apr 29, 2019",41
2026-02-10 05:24:58,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,88100,3420000,108000,"Jun 18, 2020",25
2026-02-10 05:27:01,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,89800,3400000,11100,"Aug 4, 2020",15
2026-02-10 05:28:25,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/8076147772.webp?width=400,115000,5710000,57800,"Aug 31, 2019",36
2026-02-10 05:30:54,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,70500,1520000,58000,"Jun 17, 2024",14
2026-02-10 05:32:14,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,164000,8540000,58500,"Jan 21, 2020",34
2026-02-10 05:34:34,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,10900,670000,4350,"Oct 27, 2023",7
2026-02-10 05:35:29,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,101000,4570000,53100,"May 31, 2019",37
