timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-10-12 03:07:58,SIO,https://audiomack.com/vibeking-sio,135000,4250000,101000,"Oct 30, 2020",6
2025-10-12 03:08:42,Nahj,https://audiomack.com/nahj,22000,3610000,1170000,"Dec 27, 2019",7
2025-10-12 03:09:29,Spize,https://audiomack.com/spizeofficial,62100,2290000,57600,"Oct 20, 2021",4
2025-10-12 03:10:06,Will Flash,https://audiomack.com/will-flash,58200,3510000,84800,"Dec 1, 2023",9
2025-10-12 03:11:04,STUNN,https://audiomack.com/stunn,60000,2720000,29700,"Nov 25, 2019",29
2025-10-12 03:13:03,Larry G,https://audiomack.com/elvissaywon226,31900,926000,81400,"Oct 17, 2020",3
2025-10-12 03:13:36,Fluxii,https://audiomack.com/fluxiimusic,54200,2320000,97600,"Aug 10, 2023",10
2025-10-12 03:14:38,Teddyride,https://audiomack.com/teddyride,121000,5920000,51500,"Oct 21, 2019",29
2025-10-12 03:16:39,Jaredo,https://audiomack.com/Jaredo,57400,2060000,86200,"Aug 27, 2021",12
2025-10-12 03:17:51,King Dennis,https://audiomack.com/troublecoming,158000,8220000,95900,"Jul 2, 2020",49
2025-10-12 03:21:02,JZyNo,https://audiomack.com/jzyno,476000,85400000,240000,"Jul 18, 2017",36
2025-10-12 03:23:30,C.I.C,https://audiomack.com/cralorboi_cic,196000,11100000,117000,"May 21, 2019",36
2025-10-12 03:26:36,MC CARO,https://audiomack.com/mccaro,199000,10500000,102000,"May 25, 2019",83
2025-10-12 03:31:37,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,87100,3060000,68100,"Jan 12, 2024",25
2025-10-12 03:33:34,Christoph The Change,https://audiomack.com/christoph-the-change,135000,5260000,48300,"Jun 16, 2020",52
2025-10-12 03:36:49,Brickson,https://audiomack.com/brickson_,65200,2590000,110000,"Feb 6, 2021",13
2025-10-12 03:38:07,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,95300,4120000,31800,"Mar 9, 2019",55
2025-10-12 03:41:35,Mr. Church,https://audiomack.com/mr-church1,30300,883000,6710,"Jan 13, 2021",24
2025-10-12 03:43:22,Natif,https://audiomack.com/natif,39000,1540000,60600,"Jul 2, 2023",29
2025-10-12 03:45:26,Lil More,https://audiomack.com/LilMore,89600,3100000,222000,"Apr 17, 2023",15
2025-10-12 03:46:41,Writerman Willy,https://audiomack.com/writerman_willy,12500,623000,32500,"Jul 28, 2019",16
2025-10-12 03:48:08,Kpanto,https://audiomack.com/kpanto_,86100,5420000,12000,"Feb 10, 2020",59
2025-10-12 03:51:52,Boifatty,https://audiomack.com/boifattyofficial,47900,1710000,41500,"Apr 29, 2019",36
2025-10-12 03:54:18,Bucky Raw,https://audiomack.com/buckyraw,56000,2170000,9950,"Jun 18, 2020",22
2025-10-12 03:55:55,KOBAZZIE,https://audiomack.com/kobazziee,85100,3260000,28100,"Aug 4, 2020",15
2025-10-12 03:57:17,J Slught,https://audiomack.com/jslughtofficial,107000,5370000,39000,"Aug 31, 2019",41
2025-10-12 03:59:58,J Rap,https://audiomack.com/j-rap-,46900,1030000,33400,"Jun 17, 2024",13
2025-10-12 04:01:10,Nuchie Meek,https://audiomack.com/nuchie-meek-,136000,7710000,78200,"Jan 21, 2020",33
2025-10-12 04:03:22,KELLz,https://audiomack.com/KELLz,10000,611000,19500,"Oct 27, 2023",7
2025-10-12 04:04:16,Fazari,https://audiomack.com/Fazari,82200,3670000,52200,"May 31, 2019",34
