timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-10-11 15:02:42,SIO,https://audiomack.com/vibeking-sio,135000,4240000,102000,"Oct 30, 2020",6
2025-10-11 15:03:27,Nahj,https://audiomack.com/nahj,21900,3600000,1170000,"Dec 27, 2019",7
2025-10-11 15:04:14,Spize,https://audiomack.com/spizeofficial,62100,2290000,58200,"Oct 20, 2021",4
2025-10-11 15:04:51,Will Flash,https://audiomack.com/will-flash,58100,3510000,85200,"Dec 1, 2023",9
2025-10-11 15:05:49,STUNN,https://audiomack.com/stunn,60000,2720000,30100,"Nov 25, 2019",29
2025-10-11 15:07:51,Larry G,https://audiomack.com/elvissaywon226,31800,923000,82200,"Oct 17, 2020",3
2025-10-11 15:08:25,Fluxii,https://audiomack.com/fluxiimusic,54100,2320000,97400,"Aug 10, 2023",10
2025-10-11 15:09:26,Teddyride,https://audiomack.com/teddyride,121000,5910000,52400,"Oct 21, 2019",29
2025-10-11 15:11:30,Jaredo,https://audiomack.com/Jaredo,57300,2049999,88700,"Aug 27, 2021",12
2025-10-11 15:12:43,King Dennis,https://audiomack.com/troublecoming,158000,8199999,92900,"Jul 2, 2020",49
2025-10-11 15:16:01,JZyNo,https://audiomack.com/jzyno,476000,85400000,242000,"Jul 18, 2017",36
2025-10-11 15:18:39,C.I.C,https://audiomack.com/cralorboi_cic,196000,11100000,119000,"May 21, 2019",36
2025-10-11 15:21:30,MC CARO,https://audiomack.com/mccaro,199000,10500000,100000,"May 25, 2019",83
2025-10-11 15:27:27,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,87000,3060000,68400,"Jan 12, 2024",25
2025-10-11 15:29:42,Christoph The Change,https://audiomack.com/christoph-the-change,134000,5250000,48300,"Jun 16, 2020",52
2025-10-11 15:33:15,Brickson,https://audiomack.com/brickson_,65000,2580000,109000,"Feb 6, 2021",13
2025-10-11 15:34:34,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,95200,4120000,32700,"Mar 9, 2019",55
2025-10-11 15:38:08,Mr. Church,https://audiomack.com/mr-church1,30300,883000,6790,"Jan 13, 2021",24
2025-10-11 15:39:59,Natif,https://audiomack.com/natif,38900,1540000,61600,"Jul 2, 2023",29
2025-10-11 15:42:04,Lil More,https://audiomack.com/LilMore,89400,3090000,220000,"Apr 17, 2023",15
2025-10-11 15:43:22,Writerman Willy,https://audiomack.com/writerman_willy,12400,622000,32500,"Jul 28, 2019",16
2025-10-11 15:44:50,Kpanto,https://audiomack.com/kpanto_,86100,5420000,12000,"Feb 10, 2020",59
2025-10-11 15:48:39,Boifatty,https://audiomack.com/boifattyofficial,47900,1710000,42600,"Apr 29, 2019",36
2025-10-11 15:51:11,Bucky Raw,https://audiomack.com/buckyraw,55900,2170000,10000,"Jun 18, 2020",22
2025-10-11 15:52:54,KOBAZZIE,https://audiomack.com/kobazziee,85100,3260000,28400,"Aug 4, 2020",15
2025-10-11 15:54:17,J Slught,https://audiomack.com/jslughtofficial,107000,5360000,39200,"Aug 31, 2019",41
2025-10-11 15:57:05,J Rap,https://audiomack.com/j-rap-,46800,1020000,33200,"Jun 17, 2024",13
2025-10-11 15:58:20,Nuchie Meek,https://audiomack.com/nuchie-meek-,136000,7700000,79000,"Jan 21, 2020",33
2025-10-11 16:00:40,KELLz,https://audiomack.com/KELLz,9990,610000,19900,"Oct 27, 2023",7
2025-10-11 16:01:36,Fazari,https://audiomack.com/Fazari,82100,3660000,52800,"May 31, 2019",34
