timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2026-02-04 04:14:40,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,190000,5760000,120000,"Oct 30, 2020",7
2026-02-04 04:15:27,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj_/b58976d0d8.webp?width=400,29800,4980000,92900,"Dec 27, 2019",7
2026-02-04 04:16:13,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/cb9735d703.webp?width=400,72600,2620000,34500,"Oct 20, 2021",4
2026-02-04 04:16:52,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/d3fa51159a.webp?width=400,84800,4690000,118000,"Dec 1, 2023",11
2026-02-04 04:17:57,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/857fddfe80.webp?width=400,68400,3620000,88400,"Nov 25, 2019",30
2026-02-04 04:20:00,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/cd7ddf76fb.webp?width=400,71500,2180000,117000,"Oct 17, 2020",14
2026-02-04 04:21:09,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/4fd9aa58b0.webp?width=400,72400,2760000,34000,"Aug 10, 2023",10
2026-02-04 04:22:10,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/278176366b.webp?width=400,132000,6400000,34900,"Oct 21, 2019",30
2026-02-04 04:24:13,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,71700,2820000,41100,"Aug 27, 2021",12
2026-02-04 04:25:28,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/troublecoming/1c4d8d43b0.webp?width=400,206000,10200000,160000,"Jul 2, 2020",51
2026-02-04 04:28:44,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/7feb6e989a.webp?width=400,499000,87800000,233000,"Jul 18, 2017",37
2026-02-04 04:31:17,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,221000,12300000,66900,"May 21, 2019",36
2026-02-04 04:33:56,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,228000,12100000,128000,"May 25, 2019",88
2026-02-04 04:39:12,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,113000,3950000,56100,"Jan 12, 2024",27
2026-02-04 04:41:18,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,181000,7670000,114000,"Jun 16, 2020",62
2026-02-04 04:45:09,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/768a6c34c5.webp?width=400,99400,3870000,142000,"Feb 6, 2021",14
2026-02-04 04:46:30,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,131000,5710000,129000,"Mar 9, 2019",59
2026-02-04 04:50:13,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/d012ddf240.webp?width=400,33700,1030000,14000,"Jan 13, 2021",26
2026-02-04 04:52:06,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,48600,1830000,20500,"Jul 2, 2023",30
2026-02-04 04:54:12,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/a56f5b7ee0.webp?width=400,118000,4050000,113000,"Apr 17, 2023",16
2026-02-04 04:55:31,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/ec6e7433aa.webp?width=400,14000,707000,4820,"Jul 28, 2019",16
2026-02-04 04:56:58,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,90300,5620000,12600,"Feb 10, 2020",59
2026-02-04 05:00:46,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,54200,2089999,36200,"Apr 29, 2019",41
2026-02-04 05:03:29,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,86600,3370000,125000,"Jun 18, 2020",25
2026-02-04 05:05:18,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,89600,3400000,11900,"Aug 4, 2020",15
2026-02-04 05:06:42,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/8076147772.webp?width=400,114000,5640000,21200,"Aug 31, 2019",35
2026-02-04 05:09:04,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,68400,1460000,45000,"Jun 17, 2024",14
2026-02-04 05:10:21,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,163000,8510000,60900,"Jan 21, 2020",34
2026-02-04 05:12:38,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,10900,668000,4700,"Oct 27, 2023",7
2026-02-04 05:13:32,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,100000,4550000,54700,"May 31, 2019",37
