timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-12-20 03:20:23,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,167000,5030000,155000,"Oct 30, 2020",7
2025-12-20 03:21:10,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj_/b58976d0d8.webp?width=400,27500,4520000,156000,"Dec 27, 2019",7
2025-12-20 03:21:57,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/cb9735d703.webp?width=400,68300,2500000,42500,"Oct 20, 2021",4
2025-12-20 03:22:35,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/d3fa51159a.webp?width=400,71800,4260000,263000,"Dec 1, 2023",10
2025-12-20 03:23:37,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/857fddfe80.webp?width=400,65500,3290000,284000,"Nov 25, 2019",30
2025-12-20 03:25:45,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/e86080d869.webp?width=400,52100,1710000,104000,"Oct 17, 2020",4
2025-12-20 03:26:22,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/4fd9aa58b0.webp?width=400,61800,2570000,33200,"Aug 10, 2023",10
2025-12-20 03:27:23,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/278176366b.webp?width=400,128000,6260000,71200,"Oct 21, 2019",30
2025-12-20 03:29:29,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,65600,2560000,44200,"Aug 27, 2021",12
2025-12-20 03:30:42,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/kingdennis/be8429c880.webp?width=400,182000,9230000,123000,"Jul 2, 2020",50
2025-12-20 03:33:58,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/7feb6e989a.webp?width=400,491000,87000000,303000,"Jul 18, 2017",37
2025-12-20 03:36:32,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,211000,11900000,81800,"May 21, 2019",36
2025-12-20 03:39:14,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,214000,11500000,286000,"May 25, 2019",88
2025-12-20 03:44:37,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,101000,3640000,92800,"Jan 12, 2024",26
2025-12-20 03:46:41,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,159000,6880000,129000,"Jun 16, 2020",62
2025-12-20 03:50:35,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/768a6c34c5.webp?width=400,82600,3300000,85600,"Feb 6, 2021",13
2025-12-20 03:51:53,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,111000,4890000,112000,"Mar 9, 2019",58
2025-12-20 03:55:35,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/d012ddf240.webp?width=400,32299,972000,39500,"Jan 13, 2021",25
2025-12-20 03:57:26,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,45200,1740000,31100,"Jul 2, 2023",30
2025-12-20 03:59:33,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/9b18429b7f.webp?width=400,105000,3660000,68200,"Apr 17, 2023",15
2025-12-20 04:00:50,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/ec6e7433aa.webp?width=400,13500,689000,10300,"Jul 28, 2019",16
2025-12-20 04:02:18,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,88300,5540000,13700,"Feb 10, 2020",59
2025-12-20 04:06:06,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,51700,1960000,125000,"Apr 29, 2019",37
2025-12-20 04:08:37,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,64300,2490000,85700,"Jun 18, 2020",25
2025-12-20 04:10:27,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,87900,3350000,18700,"Aug 4, 2020",15
2025-12-20 04:11:50,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/8076147772.webp?width=400,111000,5540000,26400,"Aug 31, 2019",41
2025-12-20 04:14:34,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,57900,1270000,41200,"Jun 17, 2024",13
2025-12-20 04:15:48,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,151000,8189999,71300,"Jan 21, 2020",34
2025-12-20 04:18:06,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,10700,653000,7320,"Oct 27, 2023",7
2025-12-20 04:19:00,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,93400,4290000,82900,"May 31, 2019",37
