timestamp,artist_name,url,profile_image,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-12-01 03:55:42,SIO,https://audiomack.com/vibeking-sio,https://i.audiomack.com/vibeking-sio/7ea34cbb44.webp?width=400,154000,4640000,80600,"Oct 30, 2020",6
2025-12-01 03:56:27,Nahj,https://audiomack.com/nahj,https://i.audiomack.com/nahj_/b58976d0d8.webp?width=400,26200,4310000,165000,"Dec 27, 2019",7
2025-12-01 03:57:14,Spize,https://audiomack.com/spizeofficial,https://i.audiomack.com/spizeofficial/cb9735d703.webp?width=400,66300,2450000,41100,"Oct 20, 2021",4
2025-12-01 03:57:52,Will Flash,https://audiomack.com/will-flash,https://i.audiomack.com/will-flash/d3fa51159a.webp?width=400,66400,4040000,208000,"Dec 1, 2023",10
2025-12-01 03:58:54,STUNN,https://audiomack.com/stunn,https://i.audiomack.com/stunn/f9e26519d1.webp?width=400,62700,2820000,21000,"Nov 25, 2019",29
2025-12-01 04:00:56,Larry G,https://audiomack.com/elvissaywon226,https://i.audiomack.com/elvissaywon226/e86080d869.webp?width=400,46500,1540000,132000,"Oct 17, 2020",4
2025-12-01 04:01:33,Fluxii,https://audiomack.com/fluxiimusic,https://i.audiomack.com/fluxiimusic/4fd9aa58b0.webp?width=400,59500,2510000,38300,"Aug 10, 2023",10
2025-12-01 04:02:35,Teddyride,https://audiomack.com/teddyride,https://i.audiomack.com/teddyride/278176366b.webp?width=400,126000,6180000,80000,"Oct 21, 2019",30
2025-12-01 04:04:45,Jaredo,https://audiomack.com/Jaredo,https://i.audiomack.com/Jaredo/5536a7636e.webp?width=400,63400,2440000,50500,"Aug 27, 2021",12
2025-12-01 04:05:59,King Dennis,https://audiomack.com/troublecoming,https://i.audiomack.com/kingdennis/be8429c880.webp?width=400,172000,8920000,106000,"Jul 2, 2020",49
2025-12-01 04:09:16,JZyNo,https://audiomack.com/jzyno,https://i.audiomack.com/jzyno/7feb6e989a.webp?width=400,487000,86600000,486000,"Jul 18, 2017",37
2025-12-01 04:11:51,C.I.C,https://audiomack.com/cralorboi_cic,https://i.audiomack.com/cralorboi_cic/451dbbdc56.webp?width=400,206000,11700000,88000,"May 21, 2019",36
2025-12-01 04:14:34,MC CARO,https://audiomack.com/mccaro,https://i.audiomack.com/mccaro/88f778ad4b.webp?width=400,207000,10900000,136000,"May 25, 2019",88
2025-12-01 04:20:00,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,https://i.audiomack.com/jboydeprophet-1/608c051971.webp?width=400,96500,3470000,82500,"Jan 12, 2024",26
2025-12-01 04:22:06,Christoph The Change,https://audiomack.com/christoph-the-change,https://i.audiomack.com/christoph-the-change/1fb9825b01.webp?width=400,153000,6540000,144000,"Jun 16, 2020",62
2025-12-01 04:26:18,Brickson,https://audiomack.com/brickson_,https://i.audiomack.com/brickson_/768a6c34c5.webp?width=400,77300,3130000,93900,"Feb 6, 2021",13
2025-12-01 04:27:38,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,https://i.audiomack.com/barsee-mocopala-kiloda/58f33b03a1.webp?width=400,103000,4460000,68500,"Mar 9, 2019",56
2025-12-01 04:31:16,Mr. Church,https://audiomack.com/mr-church1,https://i.audiomack.com/mr-church1/d012ddf240.webp?width=400,31000,907000,5410,"Jan 13, 2021",24
2025-12-01 04:33:05,Natif,https://audiomack.com/natif,https://i.audiomack.com/natif/5d21fd2848.webp?width=400,43300,1690000,32600,"Jul 2, 2023",29
2025-12-01 04:35:08,Lil More,https://audiomack.com/LilMore,https://i.audiomack.com/LilMore/9b18429b7f.webp?width=400,101000,3550000,86300,"Apr 17, 2023",15
2025-12-01 04:36:26,Writerman Willy,https://audiomack.com/writerman_willy,https://i.audiomack.com/writerman_willy/ec6e7433aa.webp?width=400,13200,677000,13300,"Jul 28, 2019",16
2025-12-01 04:37:55,Kpanto,https://audiomack.com/kpanto_,https://i.audiomack.com/kpanto_/89c8e6a0fb.webp?width=400,87500,5500000,12600,"Feb 10, 2020",59
2025-12-01 04:41:44,Boifatty,https://audiomack.com/boifattyofficial,https://i.audiomack.com/boifattyofficial/a71e6ba5cf.webp?width=400,49600,1780000,21800,"Apr 29, 2019",36
2025-12-01 04:44:15,Bucky Raw,https://audiomack.com/buckyraw,https://i.audiomack.com/buckyraw-1/7561b00e22.webp?width=400,58900,2270000,15800,"Jun 18, 2020",23
2025-12-01 04:45:58,KOBAZZIE,https://audiomack.com/kobazziee,https://i.audiomack.com/kobazziee/6d17a93a68.webp?width=400,87100,3320000,20300,"Aug 4, 2020",15
2025-12-01 04:47:22,J Slught,https://audiomack.com/jslughtofficial,https://i.audiomack.com/jslughtofficial/8076147772.webp?width=400,110000,5500000,31600,"Aug 31, 2019",41
2025-12-01 04:50:08,J Rap,https://audiomack.com/j-rap-,https://i.audiomack.com/jrappneckc/a27ed71b62.webp?width=400,53700,1190000,34900,"Jun 17, 2024",13
2025-12-01 04:51:23,Nuchie Meek,https://audiomack.com/nuchie-meek-,https://i.audiomack.com/nuchie-meek-/8cec6330e5.webp?width=400,146000,8039999,63200,"Jan 21, 2020",33
2025-12-01 04:53:37,KELLz,https://audiomack.com/KELLz,https://i.audiomack.com/KELLz_Lib/a6c781839a.webp?width=400,10600,644000,9520,"Oct 27, 2023",7
2025-12-01 04:54:33,Fazari,https://audiomack.com/Fazari,https://i.audiomack.com/Fazari/d28125e057.webp?width=400,90400,4139999,126000,"May 31, 2019",37
