timestamp,artist_name,url,followers,total_plays,monthly_listeners,member_since,tracks_found
2025-10-06 09:47:51,SIO,https://audiomack.com/vibeking-sio,133000,4190000,105000,"Oct 30, 2020",6
2025-10-06 09:49:00,Nahj,https://audiomack.com/nahj,21200,3460000,1110000,"Dec 27, 2019",0
2025-10-06 09:49:27,Spize,https://audiomack.com/spizeofficial,61600,2270000,56800,"Oct 20, 2021",4
2025-10-06 09:50:08,Will Flash,https://audiomack.com/will-flash,57200,3470000,86900,"Dec 1, 2023",9
2025-10-06 09:51:16,STUNN,https://audiomack.com/stunn,59700,2710000,30800,"Nov 25, 2019",29
2025-10-06 09:54:05,Larry G,https://audiomack.com/elvissaywon226,30800,890000,84800,"Oct 17, 2020",2
2025-10-06 09:54:39,Fluxii,https://audiomack.com/fluxiimusic,53300,2290000,92300,"Aug 10, 2023",10
2025-10-06 09:55:50,Teddyride,https://audiomack.com/teddyride,121000,5900000,55000,"Oct 21, 2019",29
2025-10-06 09:58:10,Jaredo,https://audiomack.com/Jaredo,56400,2000000,108000,"Aug 27, 2021",12
2025-10-06 09:59:33,King Dennis,https://audiomack.com/troublecoming,155000,8100000,80900,"Jul 2, 2020",48
2025-10-06 10:03:19,JZyNo,https://audiomack.com/jzyno,475000,85300000,241000,"Jul 18, 2017",36
2025-10-06 10:06:14,C.I.C,https://audiomack.com/cralorboi_cic,194000,11000000,126000,"May 21, 2019",36
2025-10-06 10:09:22,MC CARO,https://audiomack.com/mccaro,197000,10400000,89100,"May 25, 2019",83
2025-10-06 10:15:22,JBoy De Prophet,https://audiomack.com/jboydeprophet-1,85500,3010000,66800,"Jan 12, 2024",25
2025-10-06 10:17:40,Christoph The Change,https://audiomack.com/christoph-the-change,134000,5220000,49800,"Jun 16, 2020",52
2025-10-06 10:21:35,Brickson,https://audiomack.com/brickson_,63100,2480000,85900,"Feb 6, 2021",13
2025-10-06 10:23:03,Barsee Mocopala Kiloda,https://audiomack.com/barsee-mocopala-kiloda,94700,4099999,38500,"Mar 9, 2019",55
2025-10-06 10:27:53,Mr. Church,https://audiomack.com/mr-church1,30200,879000,6470,"Jan 13, 2021",24
2025-10-06 10:30:40,Natif,https://audiomack.com/natif,38300,1510000,67300,"Jul 2, 2023",0
2025-10-06 10:30:43,Error,https://audiomack.com/LilMore,Error,Error,Error,N/A,0
